,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
206,CMP 131,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Information Technology,,Man,White,19-20
207,CMP 131,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Information Technology,,Man,Asian,19-20
208,CMP 131,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Information Technology,,Man,Hispanic,21-24
209,CMP 131,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,Don't recall,Information Technology,,Prefer not to say,Multi-Racial,19-20
210,CMP 128,Don't recall,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,CIS Game Development Option,,Woman,Multi-Racial,18 and younger
211,CMP 131,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Information Technology,,Man,Hispanic,21-24
212,CMP 128,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,business admin,2.0,Man,White,21-24
213,CMP 120,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Information Security Certificate of Achievement,,Man,Hispanic,21-24
214,CMP 128,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Woman,Asian,25-34
215,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Information Technology ,4.0,Man,Asian,19-20
216,CMP 128,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Business Administration,5.0,Woman,Multi-Racial,21-24
217,CMP 239,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Man,Hispanic,19-20
218,CMP 239,No,Don't recall,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Digital Media Technology,,Man,African American,18 and younger
219,CMP 128,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Computer Science,,Man,White,18 and younger
