,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
0,CMP 128,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Non Degree seeking,5.0,Woman,Asian,18 and younger
1,CMP 128,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Electronic engineering ,5.0,Man,Hispanic,19-20
2,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
3,CMP 128,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Computer Science,,Man,Choose not to reply,35-64
4,CMP 128,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Mechanical Engineering,4.0,Man,White,19-20
5,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
6,CMP 128,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Electronic Engineering,5.0,Man,White,19-20
7,CMP 128,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Undecided,3.0,Woman,Asian,18 and younger
8,CMP 128,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Mathematics and Science,4.0,Man,White,21-24
9,CMP 128,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,Hispanic,18 and younger
10,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,25-34
11,CMP 128,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Non Degree seeking,5.0,Woman,Asian,18 and younger
12,CMP 128,Don't recall,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,mechanical engineering,2.0,Man,White,19-20
13,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Non Degree seeking,4.0,Woman,White,18 and younger
14,CMP 128,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Computer Science,,Man,White,35-64
15,CMP 128,Yes,Yes,Don't recall,Yes,No,No,Yes,Yes,Don't recall,Don't recall,No,No,No,Don't recall,libral arts,3.0,Woman,White,19-20
16,CMP 128,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
17,CMP 128,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Non Degree seeking,2.0,Woman,White,18 and younger
18,CMP 128,Don't recall,Don't recall,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,CIS Game Development Option,,Man,White,19-20
19,CMP 128,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,mechanical engineering ,3.0,Man,White,19-20
20,CMP 128,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Hispanic,19-20
21,CMP 128,No,Yes,Don't recall,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Don't recall,Mechanical Engineering ,4.0,Man,Asian,19-20
22,CMP 128,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Man,Asian,19-20
23,CMP 128,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Hispanic,19-20
