,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
24,CMP 128,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Computer Science,,Man,White,19-20
25,CMP 128,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
26,CMP 128,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
27,CMP 128,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Don't recall,Administrative Business,5.0,Man,White,19-20
28,CMP 128,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Computer Science,,Man,Hispanic,18 and younger
29,CMP 128,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Mechanical Engineering,5.0,Man,African American,35-64
30,CMP 128,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,19-20
31,CMP 128,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Computer Science,,Woman,African American,19-20
32,CMP 128,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Hispanic,21-24
33,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Hispanic,19-20
34,CMP 128,Don't recall,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,CIS Game Development Option,,Man,Hispanic,18 and younger
35,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,Asian,18 and younger
36,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
37,CMP 128,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
38,CMP 128,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,electronic engineering ,5.0,Man,Hispanic,19-20
39,CMP 128,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,No,No,No,Yes,Business Admin,5.0,Man,White,19-20
40,CMP 128,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,19-20
41,CMP 128,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Computer Science,,Prefer not to say,Choose not to reply,19-20
42,CMP 128,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Information Technology,,Man,Asian,25-34
43,CMP 130,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Computer Science,,Man,Asian,19-20
44,CMP 128,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Electrical Engineering,3.0,Man,Multi-Racial,18 and younger
45,CMP 130,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Information Technology,,Man,White,21-24
46,CMP 131,Yes,Yes,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Computer Science,,Man,White,25-34
47,CMP 130,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,,Man,White,25-34
48,CMP 128,Yes,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,Yes,Don't recall,Computer Science,,Man,Hispanic,21-24
49,CMP 128,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Web Development Certificate of Achievement,,Man,Hispanic,35-64
50,CMP 131,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,Asian,19-20
51,CMP 131,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,19-20
52,CMP 131,Don't recall,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,19-20
53,CMP 131,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,25-34
54,CMP 131,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Information Technology,,Man,White,18 and younger
55,CMP 131,No,No,No,Yes,Yes,No,Don't recall,Yes,No,No,No,No,No,Don't recall,Computer Science,,Man,Asian,19-20
56,CMP 131,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Information Technology,,Man,White,18 and younger
57,CMP 131,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Information Technology,,Man,White,18 and younger
58,CMP 131,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Information Technology,,Man,Native American,19-20
59,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Business,2.0,Man,White,19-20
60,CMP 131,Yes,Don't recall,No,Yes,Yes,No,No,Don't recall,No,No,No,No,No,No,Data Analytics Certificate of Achievement,,Man,White,19-20
61,CMP 131,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Data Analytics Certificate of Achievement,,Man,White,19-20
62,CMP 130,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,19-20
63,CMP 130,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Information Technology,,Man,White,18 and younger
64,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,African American,18 and younger
65,CMP 130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Information Technology,,Man,White,19-20
66,CMP 130,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Information Technology,,Man,Hispanic,25-34
67,CMP 128,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,21-24
68,CMP 131,Don't recall,No,No,Yes,Yes,No,Don't recall,Yes,No,No,No,No,No,Don't recall,Computer Science,,Man,Asian,19-20
69,CMP 128,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Information Technology,,Man,Multi-Racial,19-20
70,CMP 131,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Mathematics and Science,5.0,Woman,White,35-64
71,CMP 128,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Business ,4.0,Man,White,18 and younger
72,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Computer Science,,Man,White,35-64
73,CMP 128,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Technical Studies,,Man,White,18 and younger
74,CMP 128,Don't recall,Don't recall,No,Yes,No,No,No,Yes,No,No,No,No,No,Don't recall,Undecided,3.0,Woman,Multi-Racial,19-20
75,CMP 131,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,18 and younger
76,CMP 128,No,No,No,No,No,No,Don't recall,Yes,No,No,No,No,No,Don't recall,Computer Science,,Man,Hispanic,19-20
77,CMP 128,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Computer Science,,Man,Multi-Racial,25-34
78,CMP 128,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Radiography ,5.0,Man,Hispanic,35-64
79,CMP 239,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,21-24
80,CMP 128,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
81,CMP 128,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Hispanic,18 and younger
82,CMP 239,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Digital Media Technology,,Woman,White,18 and younger
83,CMP 239,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,18 and younger
84,CMP 239,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Information Technology,,Man,White,19-20
85,CMP 239,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Digital Media Technology,,Man,Hispanic,21-24
86,CMP 239,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Information Technology,,Man,White,21-24
87,CMP 239,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Web Development Certificate of Achievement,,Man,White,35-64
88,CMP 239,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Information Technology,,Man,White,19-20
89,CMP 239,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Computer Science,,Man,White,25-34
90,CMP 239,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,No,No,No,No,No,Information Technology,,Man,White,21-24
91,CMP 239,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Graphic Design ,5.0,Woman,Hispanic,25-34
92,CMP 128,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
93,CMP 128,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Computer Science,,Man,African American,18 and younger
94,CMP 128,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Mathematics,3.0,Man,Asian,21-24
95,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,Asian,19-20
96,CMP 128,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Challenger Program,,Woman,White,18 and younger
97,CMP 128,No,No,No,Yes,No,Yes,Don't recall,Yes,No,No,No,No,No,No,Biology Environmental Track,3.0,Prefer not to say,Choose not to reply,19-20
98,CMP 128,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Computer Science,,Man,Asian,19-20
99,CMP 128,No,No,Yes,Yes,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,No,No,No,No,Dual Enrollment,4.0,Woman,Asian,18 and younger
100,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Computer Science,,Man,White,18 and younger
101,CMP 128,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Computer Science,,Man,Hispanic,19-20
102,CMP 128,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Information Technology,,Man,White,19-20
103,CMP 128,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,mechanical engineering technology ,3.0,Man,Hispanic,18 and younger
104,CMP 128,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Computer Science,,Man,African American,19-20
105,CMP 128,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Electronics engineering technology,4.0,Man,White,19-20
106,CMP 128,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Mechanical Engineering,4.0,Man,White,19-20
107,CMP 128,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Challenger Program,,Woman,White,18 and younger
108,CMP 128,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,mechanical engineering technology ,3.0,Man,Hispanic,18 and younger
109,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Multi-Racial,18 and younger
110,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Computer Science,,Man,White,19-20
111,CMP 239,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Graphic Design,4.0,Man,Hispanic,19-20
112,CMP 128,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,ShareTime CSIP Program,,Woman,Hispanic,18 and younger
113,CMP 239,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Computer Science,,Woman,White,19-20
114,CMP 131,Don't recall,Don't recall,No,Yes,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Information Technology,,Man,Choose not to reply,21-24
115,CMP 128,Don't recall,Don't recall,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
116,CMP 128,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Asian,19-20
117,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Undecided,4.0,Man,White,18 and younger
118,CMP 128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Mechanical Engineering,5.0,Man,White,19-20
119,CMP 128,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,ShareTime EDAM Program,5.0,Woman,White,18 and younger
120,CMP 239,No,No,Don't recall,Yes,Yes,Yes,Don't recall,Yes,No,No,No,No,No,No,Information Technology,,Man,White,19-20
121,CMP 128,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Information Technology,,Man,Asian,19-20
122,CMP 128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Non Degree seeking,3.0,Woman,White,18 and younger
123,CMP 128,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,19-20
124,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,Computer Science,,Man,Hispanic,18 and younger
125,CMP 128,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Computer Science,,Woman,African American,21-24
126,CMP 128,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Undecided,4.0,Woman,Asian,19-20
127,CMP 128,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Digital Media Technology,,Man,White,21-24
128,CMP 128,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Computer Science,,Woman,Native American,21-24
129,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Woman,Asian,21-24
130,CMP 128,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Liberal Arts Program,4.0,Woman,White,21-24
131,CMP 128,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Visiting student,4.0,Woman,Hispanic,19-20
132,CMP 128,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,CIS Game Development Option,,Woman,Hispanic,18 and younger
133,CMP 128,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Web Development Certificate of Achievement,,Man,White,35-64
134,CMP 128,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Computer Science,,Man,Choose not to reply,19-20
135,CMP 128,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Non Degree seeking,4.0,Man,Multi-Racial,19-20
136,CMP 128,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,21-24
137,CMP 239,No,No,No,Yes,No,No,Don't recall,No,No,No,No,No,No,No,Digital Media Technology,,Man,White,18 and younger
138,CMP 239,No,No,No,Yes,No,No,Don't recall,No,No,No,No,No,No,No,Digital Media Technology,,Man,White,18 and younger
139,CMP 128,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,EDAM Sharetime Program,4.0,Man,White,18 and younger
140,CMP 128,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,EDam Share time,3.0,Man,White,18 and younger
141,CMP 128,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,EDAM student,3.0,Man,Multi-Racial,18 and younger
142,CMP 128,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Business Management,2.0,Man,White,19-20
143,CMP 128,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Computer Science,,Woman,Asian,35-64
144,CMP 128,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Non Degree seeking,5.0,Woman,Asian,18 and younger
145,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,ShareTime EDAM,5.0,Man,White,18 and younger
146,CMP 128,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Non Degree seeking,3.0,Woman,Asian,18 and younger
147,CMP 128,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Challenger Program,,Woman,Hispanic,18 and younger
148,CMP 131,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Information Technology,,Man,Hispanic,18 and younger
149,CMP 239,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,18 and younger
150,CMP 128,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Engineering Design and Advanced Manufacturing. ,1.0,Man,White,18 and younger
151,CMP 130,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Information Technology,,Man,White,18 and younger
152,CMP 130,No,No,No,Yes,No,Don't recall,Yes,Yes,No,No,No,No,No,Don't recall,Information Technology,,Prefer not to say,White,18 and younger
153,CMP 120,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Asian,19-20
154,CMP 120,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Don't recall,Information Technology,,Woman,Hispanic,35-64
155,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,CIS Game Development Option,,Man,White,19-20
156,CMP 131,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Information Technology,,Woman,Hispanic,18 and younger
157,CMP 131,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Don't recall,Information Technology,,Man,White,21-24
158,CMP 128,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Business Administration,4.0,Man,White,25-34
159,CMP 128,No,No,Don't recall,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,21-24
160,CMP 239,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Graphics Design,3.0,Man,White,19-20
161,CMP 239,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Graphic Design,3.0,Man,White,19-20
162,CMP 128,Don't recall,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,19-20
163,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,Hispanic,18 and younger
164,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Undecided,3.0,Man,White,18 and younger
165,CMP 128,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,ShareTime CSIP Program,,Man,White,18 and younger
166,CMP 128,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Challenger Program,,Man,Multi-Racial,18 and younger
167,CMP 128,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,CCM Share time program,5.0,Man,Hispanic,18 and younger
168,CMP 128,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
169,CMP 239,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,25-34
170,CMP 130,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Information Technology,,Man,White,35-64
171,CMP 239,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,Hispanic,21-24
172,CMP 128,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Computer Science,,Man,Choose not to reply,19-20
173,CMP 131,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Non Degree seeking,3.0,Man,White,25-34
174,CMP 131,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Data Analytics Certificate of Achievement,,Man,Choose not to reply,21-24
175,CMP 239,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Information Technology,,Man,White,19-20
176,CMP 239,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Digital Media Technology,,Man,White,19-20
177,CMP 239,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Computer Science,,Man,Asian,19-20
178,CMP 128,Don't recall,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Computer Science,,I do not identify,Hispanic,18 and younger
179,CMP 128,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Mechanical Engineering,3.0,Prefer not to say,Choose not to reply,19-20
180,CMP 128,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Computer Science,,Woman,White,18 and younger
181,CMP 128,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Business Administration,3.0,Man,Asian,19-20
182,CMP 128,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Business Administration,4.0,Man,White,25-34
183,CMP 128,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Woman,Hispanic,19-20
184,CMP 128,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Computer Science,,Man,Multi-Racial,21-24
185,CMP 128,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,mechanical technology major ,3.0,Man,Hispanic,19-20
186,CMP 131,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Information Technology,,Man,White,25-34
187,CMP 128,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Computer Science,,Man,White,19-20
188,CMP 128,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Mechanical Engineering Technology ,4.0,Man,White,19-20
189,CMP 128,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Asian,18 and younger
190,CMP 128,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Woman,White,19-20
191,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,African American,19-20
192,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,CIS Game Development Option,,Man,Hispanic,19-20
193,CMP 128,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Mechanical engineering technology ,3.0,Man,White,19-20
194,CMP 128,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Mechanical Engineering,3.0,Man,White,18 and younger
195,CMP 128,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Multi-Racial,19-20
196,CMP 128,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Computer Science,,Woman,White,18 and younger
197,CMP 239,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Information Technology,,Man,African American,21-24
198,CMP 128,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Mech Tech,2.0,Man,Multi-Racial,18 and younger
199,CMP 128,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Undecided,2.0,Man,White,21-24
